0.166670	0.250001	0.277778	
0.291667	0.008481	0.941635	
0.203331	0.676892	0.654667	
0.147347	0.476004	0.170533	
0.469278	0.839275	0.339906	
0.373369	0.585699	0.706039	
0.838510	0.757496	0.807306	
0.937500	0.509938	0.801506	
0.729549	0.434718	0.732629	
0.067736	0.810837	0.143016	
0.656783	0.407591	0.909748	
0.014813	0.411660	0.975238	
0.415469	0.220348	0.135512	
0.146717	0.942457	0.791186	
0.947360	0.907677	0.832234	
0.102931	0.674676	0.945586	
0.380685	0.857193	0.522504	
0.263002	0.108470	0.708210	
0.144354	0.026130	0.779221	
0.446709	0.686058	0.698305	
0.817836	0.722150	0.160806	
0.925226	0.432852	0.713559	
0.548077	0.717811	0.951860	
0.502465	0.431464	0.721313	
0.917147	0.258443	0.351787	
0.129180	0.464567	0.850780	
0.285635	0.530438	0.800163	
0.427734	0.528772	0.910775	
0.025700	0.198647	0.520706	
0.831886	0.255029	0.811255	
0.486755	0.383322	0.983907	
0.260619	0.385735	0.666548	
0.000700	0.906618	0.639290	
0.736936	0.673228	0.219650	
0.090213	0.397168	0.847106	
0.939346	0.521021	0.313582	
0.115875	0.207530	0.754845	
0.733753	0.895616	0.404041	
0.635641	0.588322	0.123896	
0.480628	0.624766	0.430309	
0.541041	0.584041	0.888705	
0.813118	0.370877	0.828425	
0.701183	0.562843	0.085479	
0.088737	0.644411	0.321215	
0.082830	0.405869	0.378952	
0.091979	0.817396	0.484368	
0.487244	0.350601	0.310087	
0.617940	0.078961	0.839753	
0.634139	0.016828	0.024461	
0.721012	0.570124	0.974687	
0.957280	0.925481	0.568525	
0.407213	0.080727	0.874669	
0.774353	0.444749	0.018323	
0.678884	0.324434	0.797999	
0.594327	0.591204	0.633168	
0.851538	0.875888	0.837865	
0.067194	0.435748	0.047029	
0.526518	0.554261	0.075514	
0.052881	0.451639	0.817996	
0.889641	0.441066	0.120617	
0.935650	0.314089	0.973785	
0.559987	0.825650	0.001871	
0.301567	0.266298	0.338274	
0.857125	0.514339	0.750993	
0.523875	0.180776	0.739112	
0.648295	0.038105	0.258606	
0.444495	0.001753	0.105009	
0.674970	0.063006	0.221489	
0.043765	0.540749	0.577601	
0.065612	0.932525	0.779696	
0.083516	0.631901	0.511319	
0.579957	0.175422	0.291357	
0.664191	0.113763	0.338847	
0.479654	0.332940	0.229355	
0.797559	0.493527	0.224323	
0.857018	0.609428	0.773117	
0.625118	0.066594	0.271738	
